Model,Train_R2,Test_R2,RMSE,MAE
Linear,0.7417871153441392,0.7335073931681124,2443.8997681241344,1781.5993220060088
Polynomial,0.8135120117791028,0.803370753291617,2099.2534003819583,1500.8205363314544
Ridge,0.7417677621969251,0.7344174315408354,2439.723396124447,1780.3481649365392
Lasso,0.7417369023364107,0.7349055276790442,2437.4804642750864,1779.606237546418
DecisionTree,0.9997193519780269,0.8918536931273698,1556.849581245289,1038.201075867186
